"filename", "language", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\about.html", "HTML", 0, 122, 0, 0, 6, 128
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\contact.html", "HTML", 0, 138, 0, 0, 7, 145
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\early-access.html", "HTML", 0, 238, 0, 0, 7, 245
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\google_icons\close_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\google_icons\menu_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\icons\green_icon.svg", "XML", 0, 0, 109, 1, 2, 112
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\icons\white_icon.svg", "XML", 0, 0, 109, 1, 2, 112
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\index.html", "HTML", 0, 171, 0, 0, 6, 177
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\style.css", "CSS", 350, 0, 0, 9, 59, 418
"c:\Users\ashto\Desktop\Grin and Gain Files\grinngain_com\test.html", "HTML", 0, 48, 0, 4, 7, 59
"Total", "-", 350, 717, 220, 15, 96, 1398
